title,category,summary,authors
"Advice Conformance Verification by Reinforcement Learning agents for
  Human-in-the-Loop",Artificial Intelligence,"Human-in-the-loop (HiL) reinforcement learning is gaining traction in domains
with large action and state spaces, and sparse rewards by allowing the agent to
take advice from HiL. Beyond advice accommodation, a sequential decision-making
agent must be able to express the extent to which it was able to utilize the
human advice. Subsequently, the agent should provide a means for the HiL to
inspect parts of advice that it had to reject in favor of the overall
environment objective. We introduce the problem of Advice-Conformance
Verification which requires reinforcement learning (RL) agents to provide
assurances to the human in the loop regarding how much of their advice is being
conformed to. We then propose a Tree-based lingua-franca to support this
communication, called a Preference Tree. We study two cases of good and bad
advice scenarios in MuJoCo's Humanoid environment. Through our experiments, we
show that our method can provide an interpretable means of solving the
Advice-Conformance Verification problem by conveying whether or not the agent
is using the human's advice. Finally, we present a human-user study with 20
participants that validates our method.","['Mudit Verma', 'Ayush Kharkwal', 'Subbarao Kambhampati']"
Software and application patterns for explanation methods,Machine Learning,"Deep neural networks successfully pervaded many applications domains and are
increasingly used in critical decision processes. Understanding their workings
is desirable or even required to further foster their potential as well as to
access sensitive domains like medical applications or autonomous driving. One
key to this broader usage of explaining frameworks is the accessibility and
understanding of respective software. In this work we introduce software and
application patterns for explanation techniques that aim to explain individual
predictions of neural networks. We discuss how to code well-known algorithms
efficiently within deep learning software frameworks and describe how to embed
algorithms in downstream implementations. Building on this we show how
explanation methods can be used in applications to understand predictions for
miss-classified samples, to compare algorithms or networks, and to examine the
focus of networks. Furthermore, we review available open-source packages and
discuss challenges posed by complex and evolving neural network structures to
explanation algorithm development and implementations.",['Maximilian Alber']
HUMBI: A Large Multiview Dataset of Human Body Expressions,Computer Vision and Pattern Recognition,"This paper presents a new large multiview dataset called HUMBI for human body
expressions with natural clothing. The goal of HUMBI is to facilitate modeling
view-specific appearance and geometry of gaze, face, hand, body, and garment
from assorted people. 107 synchronized HD cameras are used to capture 772
distinctive subjects across gender, ethnicity, age, and physical condition.
With the multiview image streams, we reconstruct high fidelity body expressions
using 3D mesh models, which allows representing view-specific appearance using
their canonical atlas. We demonstrate that HUMBI is highly effective in
learning and reconstructing a complete human model and is complementary to the
existing datasets of human body expressions with limited views and subjects
such as MPII-Gaze, Multi-PIE, Human3.6M, and Panoptic Studio datasets.","['Zhixuan Yu', 'Jae Shin Yoon', 'In Kyu Lee', 'Prashanth Venkatesh', 'Jaesik Park', 'Jihun Yu', 'Hyun Soo Park']"
"CEMFormer: Learning to Predict Driver Intentions from In-Cabin and
  External Cameras via Spatial-Temporal Transformers",Computer Vision and Pattern Recognition,"Driver intention prediction seeks to anticipate drivers' actions by analyzing
their behaviors with respect to surrounding traffic environments. Existing
approaches primarily focus on late-fusion techniques, and neglect the
importance of maintaining consistency between predictions and prevailing
driving contexts. In this paper, we introduce a new framework called Cross-View
Episodic Memory Transformer (CEMFormer), which employs spatio-temporal
transformers to learn unified memory representations for an improved driver
intention prediction. Specifically, we develop a spatial-temporal encoder to
integrate information from both in-cabin and external camera views, along with
episodic memory representations to continuously fuse historical data.
Furthermore, we propose a novel context-consistency loss that incorporates
driving context as an auxiliary supervision signal to improve prediction
performance. Comprehensive experiments on the Brain4Cars dataset demonstrate
that CEMFormer consistently outperforms existing state-of-the-art methods in
driver intention prediction.","['Yunsheng Ma', 'Wenqian Ye', 'Xu Cao', 'Amr Abdelraouf', 'Kyungtae Han', 'Rohit Gupta', 'Ziran Wang']"
Efficient entity-based reinforcement learning,Machine Learning,"Recent deep reinforcement learning (DRL) successes rely on end-to-end
learning from fixed-size observational inputs (e.g. image, state-variables).
However, many challenging and interesting problems in decision making involve
observations or intermediary representations which are best described as a set
of entities: either the image-based approach would miss small but important
details in the observations (e.g. ojects on a radar, vehicles on satellite
images, etc.), the number of sensed objects is not fixed (e.g. robotic
manipulation), or the problem simply cannot be represented in a meaningful way
as an image (e.g. power grid control, or logistics). This type of structured
representations is not directly compatible with current DRL architectures,
however, there has been an increase in machine learning techniques directly
targeting structured information, potentially addressing this issue. We propose
to combine recent advances in set representations with slot attention and graph
neural networks to process structured data, broadening the range of
applications of DRL algorithms. This approach allows to address entity-based
problems in an efficient and scalable way. We show that it can improve training
time and robustness significantly, and demonstrate their potential to handle
structured as well as purely visual domains, on multiple environments from the
Atari Learning Environment and Simple Playgrounds.","['Vince Jankovics', 'Michael Garcia Ortiz', 'Eduardo Alonso']"
"Beyond Forward Shortcuts: Fully Convolutional Master-Slave Networks
  (MSNets) with Backward Skip Connections for Semantic Segmentation",Computer Vision and Pattern Recognition,"Recent deep CNNs contain forward shortcut connections; i.e. skip connections
from low to high layers. Reusing features from lower layers that have higher
resolution (location information) benefit higher layers to recover lost details
and mitigate information degradation. However, during inference the lower
layers do not know about high layer features, although they contain contextual
high semantics that benefit low layers to adaptively extract informative
features for later layers. In this paper, we study the influence of backward
skip connections which are in the opposite direction to forward shortcuts, i.e.
paths from high layers to low layers. To achieve this -- which indeed runs
counter to the nature of feed-forward networks -- we propose a new fully
convolutional model that consists of a pair of networks. A `Slave' network is
dedicated to provide the backward connections from its top layers to the
`Master' network's bottom layers. The Master network is used to produce the
final label predictions. In our experiments we validate the proposed FCN model
on ADE20K (ImageNet scene parsing), PASCAL-Context, and PASCAL VOC 2011
datasets.","['Abrar H. Abdulnabi', 'Stefan Winkler', 'Gang Wang']"
"Classifying Multilingual User Feedback using Traditional Machine
  Learning and Deep Learning",Computation and Language (Natural Language Processing),"With the rise of social media like Twitter and of software distribution
platforms like app stores, users got various ways to express their opinion
about software products. Popular software vendors get user feedback
thousandfold per day. Research has shown that such feedback contains valuable
information for software development teams such as problem reports or feature
and support inquires. Since the manual analysis of user feedback is cumbersome
and hard to manage many researchers and tool vendors suggested to use automated
analyses based on traditional supervised machine learning approaches. In this
work, we compare the results of traditional machine learning and deep learning
in classifying user feedback in English and Italian into problem reports,
inquiries, and irrelevant. Our results show that using traditional machine
learning, we can still achieve comparable results to deep learning, although we
collected thousands of labels.","['Christoph Stanik', 'Marlo Haering', 'Walid Maalej']"
A Unified Gradient Regularization Family for Adversarial Examples,Machine Learning,"Adversarial examples are augmented data points generated by imperceptible
perturbation of input samples. They have recently drawn much attention with the
machine learning and data mining community. Being difficult to distinguish from
real examples, such adversarial examples could change the prediction of many of
the best learning models including the state-of-the-art deep learning models.
Recent attempts have been made to build robust models that take into account
adversarial examples. However, these methods can either lead to performance
drops or lack mathematical motivations. In this paper, we propose a unified
framework to build robust machine learning models against adversarial examples.
More specifically, using the unified framework, we develop a family of gradient
regularization methods that effectively penalize the gradient of loss function
w.r.t. inputs. Our proposed framework is appealing in that it offers a unified
view to deal with adversarial examples. It incorporates another
recently-proposed perturbation based approach as a special case. In addition,
we present some visual effects that reveals semantic meaning in those
perturbations, and thus support our regularization method and provide another
explanation for generalizability of adversarial examples. By applying this
technique to Maxout networks, we conduct a series of experiments and achieve
encouraging results on two benchmark datasets. In particular,we attain the best
accuracy on MNIST data (without data augmentation) and competitive performance
on CIFAR-10 data.","['Chunchuan Lyu', 'Kaizhu Huang', 'Hai-Ning Liang']"
Using Database Rule for Weak Supervised Text-to-SQL Generation,Computation and Language (Natural Language Processing),"We present a simple way to do the task of text-to-SQL problem with weak
supervision. We call it Rule-SQL. Given the question and the answer from the
database table without the SQL logic form, Rule-SQL use the rules based on
table column names and question string for the SQL exploration first and then
use the explored SQL for supervised training. We design several rules for
reducing the exploration search space. For the deep model, we leverage BERT for
the representation layer and separate the model to SELECT, AGG and WHERE parts.
The experiment result on WikiSQL outperforms the strong baseline of full
supervision and is comparable to the start-of-the-art weak supervised mothods.","['Tong Guo', 'Huilin Gao']"
EMNIST: an extension of MNIST to handwritten letters,Computer Vision and Pattern Recognition,"The MNIST dataset has become a standard benchmark for learning,
classification and computer vision systems. Contributing to its widespread
adoption are the understandable and intuitive nature of the task, its
relatively small size and storage requirements and the accessibility and
ease-of-use of the database itself. The MNIST database was derived from a
larger dataset known as the NIST Special Database 19 which contains digits,
uppercase and lowercase handwritten letters. This paper introduces a variant of
the full NIST dataset, which we have called Extended MNIST (EMNIST), which
follows the same conversion paradigm used to create the MNIST dataset. The
result is a set of datasets that constitute a more challenging classification
tasks involving letters and digits, and that shares the same image structure
and parameters as the original MNIST task, allowing for direct compatibility
with all existing classifiers and systems. Benchmark results are presented
along with a validation of the conversion process through the comparison of the
classification results on converted NIST digits and the MNIST digits.","['Gregory Cohen', 'Saeed Afshar', 'Jonathan Tapson', 'André van Schaik']"
"Topology-based Representative Datasets to Reduce Neural Network Training
  Resources",Machine Learning,"One of the main drawbacks of the practical use of neural networks is the long
time required in the training process. Such a training process consists of an
iterative change of parameters trying to minimize a loss function. These
changes are driven by a dataset, which can be seen as a set of labelled points
in an n-dimensional space. In this paper, we explore the concept of are
representative dataset which is a dataset smaller than the original one,
satisfying a nearness condition independent of isometric transformations.
Representativeness is measured using persistence diagrams (a computational
topology tool) due to its computational efficiency. We prove that the accuracy
of the learning process of a neural network on a representative dataset is
""similar"" to the accuracy on the original dataset when the neural network
architecture is a perceptron and the loss function is the mean squared error.
These theoretical results accompanied by experimentation open a door to
reducing the size of the dataset to gain time in the training process of any
neural network.","['Rocio Gonzalez-Diaz', 'Miguel A. Gutiérrez-Naranjo', 'Eduardo Paluzo-Hidalgo']"
"LeanQuant: Accurate and Scalable Large Language Model Quantization with
  Loss-error-aware Grid",Machine Learning,"Large language models (LLMs) have shown immense potential across various
domains, but their high memory requirements and inference costs remain critical
challenges for deployment. Post-training quantization (PTQ) has emerged as a
promising technique to reduce memory requirements and decoding latency.
However, recent accurate quantization methods often depend on specialized
computations or custom data formats to achieve better model quality, which
limits their compatibility with popular frameworks, as they require dedicated
inference kernels tailored to specific hardware and software platforms,
hindering wider adoption. Furthermore, many competitive methods have high
resource requirements and computational overhead, making it challenging to
scale them to hundreds of billions of parameters. In response to these
challenges, we propose LeanQuant (Loss-error-aware Network Quantization), a
novel quantization method that is accurate, versatile, and scalable. In the
existing popular iterative loss-error-based quantization framework, we identify
a critical limitation in prior methods: the min-max affine quantization grid
fails to preserve model quality due to outliers in inverse Hessian diagonals.
To overcome this fundamental issue, we propose learning loss-error-aware grids,
instead of using non-adaptive min-max affine grids. Our approach not only
produces quantized models that are more accurate but also generalizes to a
wider range of quantization types, including affine and non-uniform
quantization, enhancing compatibility with more frameworks. Extensive empirical
evaluations on recent LLMs demonstrate that LeanQuant is highly accurate,
comparing favorably against recent competitive baselines in model quality, and
scalable, achieving very accurate quantization of Llama-3.1 405B, one of the
largest open-source LLMs to date, using two Quadro RTX 8000-48GB GPUs in 21
hours.","['Tianyi Zhang', 'Anshumali Shrivastava']"
"Statistical Attention Localization (SAL): Methodology and Application to
  Object Classification",Computer Vision and Pattern Recognition,"A statistical attention localization (SAL) method is proposed to facilitate
the object classification task in this work. SAL consists of three steps: 1)
preliminary attention window selection via decision statistics, 2) attention
map refinement, and 3) rectangular attention region finalization. SAL computes
soft-decision scores of local squared windows and uses them to identify salient
regions in Step 1. To accommodate object of various sizes and shapes, SAL
refines the preliminary result and obtain an attention map of more flexible
shape in Step 2. Finally, SAL yields a rectangular attention region using the
refined attention map and bounding box regularization in Step 3. As an
application, we adopt E-PixelHop, which is an object classification solution
based on successive subspace learning (SSL), as the baseline. We apply SAL so
as to obtain a cropped-out and resized attention region as an alternative
input. Classification results of the whole image as well as the attention
region are ensembled to achieve the highest classification accuracy.
Experiments on the CIFAR-10 dataset are given to demonstrate the advantage of
the SAL-assisted object classification method.","['Yijing Yang', 'Vasileios Magoulianitis', 'Xinyu Wang', 'C. -C. Jay Kuo']"
A Temporal Variational Model for Story Generation,Computation and Language (Natural Language Processing),"Recent language models can generate interesting and grammatically correct
text in story generation but often lack plot development and long-term
coherence. This paper experiments with a latent vector planning approach based
on a TD-VAE (Temporal Difference Variational Autoencoder), using the model for
conditioning and reranking for text generation. The results demonstrate strong
performance in automatic cloze and swapping evaluations. The human judgments
show stories generated with TD-VAE reranking improve on a GPT-2 medium baseline
and show comparable performance to a hierarchical LSTM reranking model.
Conditioning on the latent vectors proves disappointing and deteriorates
performance in human evaluation because it reduces the diversity of generation,
and the models don't learn to progress the narrative. This highlights an
important difference between technical task performance (e.g. cloze) and
generating interesting stories.","['David Wilmot', 'Frank Keller']"
A Neural Representation of Sketch Drawings,Neural and Evolutionary Computing,"We present sketch-rnn, a recurrent neural network (RNN) able to construct
stroke-based drawings of common objects. The model is trained on thousands of
crude human-drawn images representing hundreds of classes. We outline a
framework for conditional and unconditional sketch generation, and describe new
robust training methods for generating coherent sketch drawings in a vector
format.","['David Ha', 'Douglas Eck']"
DeepGeo: Photo Localization with Deep Neural Network,Computer Vision and Pattern Recognition,"In this paper we address the task of determining the geographical location of
an image, a pertinent problem in learning and computer vision. This research
was inspired from playing GeoGuessr, a game that tests a humans' ability to
localize themselves using just images of their surroundings. In particular, we
wish to investigate how geographical, ecological and man-made features
generalize for random location prediction. This is framed as a classification
problem: given images sampled from the USA, the most-probable state among 50 is
predicted. Previous work uses models extensively trained on large, unfiltered
online datasets that are primed towards specific locations. To this end, we
create (and open-source) the 50States10K dataset - with 0.5 million Google
Street View images of the country. A deep neural network based on the ResNet
architecture is trained, and four different strategies of incorporating
low-level cardinality information are presented. This model achieves an
accuracy 20 times better than chance on a test dataset, which rises to 71.87%
when taking the best of top-5 guesses. The network also beats human subjects in
4 out of 5 rounds of GeoGuessr.","['Sudharshan Suresh', 'Nathaniel Chodosh', 'Montiel Abello']"
"Remove Cosine Window from Correlation Filter-based Visual Trackers: When
  and How",Computer Vision and Pattern Recognition,"Correlation filters (CFs) have been continuously advancing the
state-of-the-art tracking performance and have been extensively studied in the
recent few years. Most of the existing CF trackers adopt a cosine window to
spatially reweight base image to alleviate boundary discontinuity. However,
cosine window emphasizes more on the central region of base image and has the
risk of contaminating negative training samples during model learning. On the
other hand, spatial regularization deployed in many recent CF trackers plays a
similar role as cosine window by enforcing spatial penalty on CF coefficients.
Therefore, we in this paper investigate the feasibility to remove cosine window
from CF trackers with spatial regularization. When simply removing cosine
window, CF with spatial regularization still suffers from small degree of
boundary discontinuity. To tackle this issue, binary and Gaussian shaped mask
functions are further introduced for eliminating boundary discontinuity while
reweighting the estimation error of each training sample, and can be
incorporated with multiple CF trackers with spatial regularization. In
comparison to the counterparts with cosine window, our methods are effective in
handling boundary discontinuity and sample contamination, thereby benefiting
tracking performance. Extensive experiments on three benchmarks show that our
methods perform favorably against the state-of-the-art trackers using either
handcrafted or deep CNN features. The code is publicly available at
https://github.com/lifeng9472/Removing_cosine_window_from_CF_trackers.","['Feng Li', 'Xiaohe Wu', 'Wangmeng Zuo', 'David Zhang', 'Lei Zhang']"
vireoJD-MM at Activity Detection in Extended Videos,Computer Vision and Pattern Recognition,"This notebook paper presents an overview and comparative analysis of our
system designed for activity detection in extended videos (ActEV-PC) in
ActivityNet Challenge 2019. Specifically, we exploit person/vehicle detections
in spatial level and action localization in temporal level for action detection
in surveillance videos. The mechanism of different tubelet generation and model
decomposition methods are studied as well. The detection results are finally
predicted by late fusing the results from each component.","['Fuchen Long', 'Qi Cai', 'Zhaofan Qiu', 'Zhijian Hou', 'Yingwei Pan', 'Ting Yao', 'Chong-Wah Ngo']"
How Important Is a Neuron?,Machine Learning,"The problem of attributing a deep network's prediction to its
\emph{input/base} features is well-studied. We introduce the notion of
\emph{conductance} to extend the notion of attribution to the understanding the
importance of \emph{hidden} units.
  Informally, the conductance of a hidden unit of a deep network is the
\emph{flow} of attribution via this hidden unit. We use conductance to
understand the importance of a hidden unit to the prediction for a specific
input, or over a set of inputs. We evaluate the effectiveness of conductance in
multiple ways, including theoretical properties, ablation studies, and a
feature selection task. The empirical evaluations are done using the Inception
network over ImageNet data, and a sentiment analysis network over reviews. In
both cases, we demonstrate the effectiveness of conductance in identifying
interesting insights about the internal workings of these networks.","['Kedar Dhamdhere', 'Mukund Sundararajan', 'Qiqi Yan']"
Terrain Analysis in StarCraft 1 and 2 as Combinatorial Optimization,Artificial Intelligence,"Terrain analysis in Real-Time Strategy games is a necessary step to allow
spacial reasoning. The goal of terrain analysis is to gather and process data
about the map topology and properties to have a qualitative spatial
representation. On StarCraft games, all previous works on terrain analysis
propose a crisp analysis based on connected component detection, Voronoi
diagram computation and pruning, and region merging. Those methods have been
implemented as game-specific libraries, and they can only offer the same kind
of analysis for all maps and all users. In this paper, we propose a way to
consider terrain analysis as a combinatorial optimization problem. Our method
allows different kinds of analysis by changing constraints or the objective
function in the problem model. We also present a library, Taunt, implementing
our method and able to handle both StarCraft 1 and StarCraft 2 maps. This makes
our library a universal tool for StarCraft bots with different spatial
representation needs. We believe our library unlocks the possibility to have
real adaptive AIs playing StarCraft, and can be the starting point of a new
wave of bots.",['Florian Richoux']
Deep Multimodal Fusion for Generalizable Person Re-identification,Computer Vision and Pattern Recognition,"Person re-identification plays a significant role in realistic scenarios due
to its various applications in public security and video surveillance.
Recently, leveraging the supervised or semi-unsupervised learning paradigms,
which benefits from the large-scale datasets and strong computing performance,
has achieved a competitive performance on a specific target domain. However,
when Re-ID models are directly deployed in a new domain without target samples,
they always suffer from considerable performance degradation and poor domain
generalization. To address this challenge, we propose a Deep Multimodal Fusion
network to elaborate rich semantic knowledge for assisting in representation
learning during the pre-training. Importantly, a multimodal fusion strategy is
introduced to translate the features of different modalities into the common
space, which can significantly boost generalization capability of Re-ID model.
As for the fine-tuning stage, a realistic dataset is adopted to fine-tune the
pre-trained model for better distribution alignment with real-world data.
Comprehensive experiments on benchmarks demonstrate that our method can
significantly outperform previous domain generalization or meta-learning
methods with a clear margin. Our source code will also be publicly available at
https://github.com/JeremyXSC/DMF.","['Suncheng Xiang', 'Hao Chen', 'Wei Ran', 'Zefang Yu', 'Ting Liu', 'Dahong Qian', 'Yuzhuo Fu']"
"Demographic Dialectal Variation in Social Media: A Case Study of
  African-American English",Computation and Language (Natural Language Processing),"Though dialectal language is increasingly abundant on social media, few
resources exist for developing NLP tools to handle such language. We conduct a
case study of dialectal language in online conversational text by investigating
African-American English (AAE) on Twitter. We propose a distantly supervised
model to identify AAE-like language from demographics associated with
geo-located messages, and we verify that this language follows well-known AAE
linguistic phenomena. In addition, we analyze the quality of existing language
identification and dependency parsing tools on AAE-like text, demonstrating
that they perform poorly on such text compared to text associated with white
speakers. We also provide an ensemble classifier for language identification
which eliminates this disparity and release a new corpus of tweets containing
AAE-like language.","['Su Lin Blodgett', 'Lisa Green', ""Brendan O'Connor""]"
Local Differential Privacy for Evolving Data,Machine Learning,"There are now several large scale deployments of differential privacy used to
collect statistical information about users. However, these deployments
periodically recollect the data and recompute the statistics using algorithms
designed for a single use. As a result, these systems do not provide meaningful
privacy guarantees over long time scales. Moreover, existing techniques to
mitigate this effect do not apply in the ""local model"" of differential privacy
that these systems use.
  In this paper, we introduce a new technique for local differential privacy
that makes it possible to maintain up-to-date statistics over time, with
privacy guarantees that degrade only in the number of changes in the underlying
distribution rather than the number of collection periods. We use our technique
for tracking a changing statistic in the setting where users are partitioned
into an unknown collection of groups, and at every time period each user draws
a single bit from a common (but changing) group-specific distribution. We also
provide an application to frequency and heavy-hitter estimation.","['Matthew Joseph', 'Aaron Roth', 'Jonathan Ullman', 'Bo Waggoner']"
"OBMO: One Bounding Box Multiple Objects for Monocular 3D Object
  Detection",Computer Vision and Pattern Recognition,"Compared to typical multi-sensor systems, monocular 3D object detection has
attracted much attention due to its simple configuration. However, there is
still a significant gap between LiDAR-based and monocular-based methods. In
this paper, we find that the ill-posed nature of monocular imagery can lead to
depth ambiguity. Specifically, objects with different depths can appear with
the same bounding boxes and similar visual features in the 2D image.
Unfortunately, the network cannot accurately distinguish different depths from
such non-discriminative visual features, resulting in unstable depth training.
To facilitate depth learning, we propose a simple yet effective plug-and-play
module, \underline{O}ne \underline{B}ounding Box \underline{M}ultiple
\underline{O}bjects (OBMO). Concretely, we add a set of suitable pseudo labels
by shifting the 3D bounding box along the viewing frustum. To constrain the
pseudo-3D labels to be reasonable, we carefully design two label scoring
strategies to represent their quality. In contrast to the original hard depth
labels, such soft pseudo labels with quality scores allow the network to learn
a reasonable depth range, boosting training stability and thus improving final
performance. Extensive experiments on KITTI and Waymo benchmarks show that our
method significantly improves state-of-the-art monocular 3D detectors by a
significant margin (The improvements under the moderate setting on KITTI
validation set are $\mathbf{1.82\sim 10.91\%}$ \textbf{mAP in BEV} and
$\mathbf{1.18\sim 9.36\%}$ \textbf{mAP in 3D}). Codes have been released at
\url{https://github.com/mrsempress/OBMO}.","['Chenxi Huang', 'Tong He', 'Haidong Ren', 'Wenxiao Wang', 'Binbin Lin', 'Deng Cai']"
Multilingual Language Models Predict Human Reading Behavior,Computation and Language (Natural Language Processing),"We analyze if large language models are able to predict patterns of human
reading behavior. We compare the performance of language-specific and
multilingual pretrained transformer models to predict reading time measures
reflecting natural human sentence processing on Dutch, English, German, and
Russian texts. This results in accurate models of human reading behavior, which
indicates that transformer models implicitly encode relative importance in
language in a way that is comparable to human processing mechanisms. We find
that BERT and XLM models successfully predict a range of eye tracking features.
In a series of experiments, we analyze the cross-domain and cross-language
abilities of these models and show how they reflect human sentence processing.","['Nora Hollenstein', 'Federico Pirovano', 'Ce Zhang', 'Lena Jäger', 'Lisa Beinborn']"
"Cooperative Learning of Audio and Video Models from Self-Supervised
  Synchronization",Computer Vision and Pattern Recognition,"There is a natural correlation between the visual and auditive elements of a
video. In this work we leverage this connection to learn general and effective
models for both audio and video analysis from self-supervised temporal
synchronization. We demonstrate that a calibrated curriculum learning scheme, a
careful choice of negative examples, and the use of a contrastive loss are
critical ingredients to obtain powerful multi-sensory representations from
models optimized to discern temporal synchronization of audio-video pairs.
Without further finetuning, the resulting audio features achieve performance
superior or comparable to the state-of-the-art on established audio
classification benchmarks (DCASE2014 and ESC-50). At the same time, our visual
subnet provides a very effective initialization to improve the accuracy of
video-based action recognition models: compared to learning from scratch, our
self-supervised pretraining yields a remarkable gain of +19.9% in action
recognition accuracy on UCF101 and a boost of +17.7% on HMDB51.","['Bruno Korbar', 'Du Tran', 'Lorenzo Torresani']"
"ExplaGraphs: An Explanation Graph Generation Task for Structured
  Commonsense Reasoning",Computation and Language (Natural Language Processing),"Recent commonsense-reasoning tasks are typically discriminative in nature,
where a model answers a multiple-choice question for a certain context.
Discriminative tasks are limiting because they fail to adequately evaluate the
model's ability to reason and explain predictions with underlying commonsense
knowledge. They also allow such models to use reasoning shortcuts and not be
""right for the right reasons"". In this work, we present ExplaGraphs, a new
generative and structured commonsense-reasoning task (and an associated
dataset) of explanation graph generation for stance prediction. Specifically,
given a belief and an argument, a model has to predict if the argument supports
or counters the belief and also generate a commonsense-augmented graph that
serves as non-trivial, complete, and unambiguous explanation for the predicted
stance. We collect explanation graphs through a novel Create-Verify-And-Refine
graph collection framework that improves the graph quality (up to 90%) via
multiple rounds of verification and refinement. A significant 79% of our graphs
contain external commonsense nodes with diverse structures and reasoning
depths. Next, we propose a multi-level evaluation framework, consisting of
automatic metrics and human evaluation, that check for the structural and
semantic correctness of the generated graphs and their degree of match with
ground-truth graphs. Finally, we present several structured,
commonsense-augmented, and text generation models as strong starting points for
this explanation graph generation task, and observe that there is a large gap
with human performance, thereby encouraging future work for this new
challenging task. ExplaGraphs will be publicly available at
https://explagraphs.github.io.","['Swarnadeep Saha', 'Prateek Yadav', 'Lisa Bauer', 'Mohit Bansal']"
Multiple Operator-valued Kernel Learning,Machine Learning (Statistics),"Positive definite operator-valued kernels generalize the well-known notion of
reproducing kernels, and are naturally adapted to multi-output learning
situations. This paper addresses the problem of learning a finite linear
combination of infinite-dimensional operator-valued kernels which are suitable
for extending functional data analysis methods to nonlinear contexts. We study
this problem in the case of kernel ridge regression for functional responses
with an lr-norm constraint on the combination coefficients. The resulting
optimization problem is more involved than those of multiple scalar-valued
kernel learning since operator-valued kernels pose more technical and
theoretical issues. We propose a multiple operator-valued kernel learning
algorithm based on solving a system of linear operator equations by using a
block coordinatedescent procedure. We experimentally validate our approach on a
functional regression task in the context of finger movement prediction in
brain-computer interfaces.","['Hachem Kadri', 'Alain Rakotomamonjy', 'Francis Bach', 'Philippe Preux']"
Learning to retrieve out-of-vocabulary words in speech recognition,Computation and Language (Natural Language Processing),"Many Proper Names (PNs) are Out-Of-Vocabulary (OOV) words for speech
recognition systems used to process diachronic audio data. To help recovery of
the PNs missed by the system, relevant OOV PNs can be retrieved out of the many
OOVs by exploiting semantic context of the spoken content. In this paper, we
propose two neural network models targeted to retrieve OOV PNs relevant to an
audio document: (a) Document level Continuous Bag of Words (D-CBOW), (b)
Document level Continuous Bag of Weighted Words (D-CBOW2). Both these models
take document words as input and learn with an objective to maximise the
retrieval of co-occurring OOV PNs. With the D-CBOW2 model we propose a new
approach in which the input embedding layer is augmented with a context anchor
layer. This layer learns to assign importance to input words and has the
ability to capture (task specific) key-words in a bag-of-word neural network
model. With experiments on French broadcast news videos we show that these two
models outperform the baseline methods based on raw embeddings from LDA,
Skip-gram and Paragraph Vectors. Combining the D-CBOW and D-CBOW2 models gives
faster convergence during training.","['Imran Sheikh', 'Irina Illina', 'Dominique Fohr', 'Georges Linarès']"
GeoStyle: Discovering Fashion Trends and Events,Computer Vision and Pattern Recognition,"Understanding fashion styles and trends is of great potential interest to
retailers and consumers alike. The photos people upload to social media are a
historical and public data source of how people dress across the world and at
different times. While we now have tools to automatically recognize the
clothing and style attributes of what people are wearing in these photographs,
we lack the ability to analyze spatial and temporal trends in these attributes
or make predictions about the future. In this paper, we address this need by
providing an automatic framework that analyzes large corpora of street imagery
to (a) discover and forecast long-term trends of various fashion attributes as
well as automatically discovered styles, and (b) identify spatio-temporally
localized events that affect what people wear. We show that our framework makes
long term trend forecasts that are >20% more accurate than the prior art, and
identifies hundreds of socially meaningful events that impact fashion across
the globe.","['Utkarsh Mall', 'Kevin Matzen', 'Bharath Hariharan', 'Noah Snavely', 'Kavita Bala']"
"Global-to-Local Modeling for Video-based 3D Human Pose and Shape
  Estimation",Computer Vision and Pattern Recognition,"Video-based 3D human pose and shape estimations are evaluated by intra-frame
accuracy and inter-frame smoothness. Although these two metrics are responsible
for different ranges of temporal consistency, existing state-of-the-art methods
treat them as a unified problem and use monotonous modeling structures (e.g.,
RNN or attention-based block) to design their networks. However, using a single
kind of modeling structure is difficult to balance the learning of short-term
and long-term temporal correlations, and may bias the network to one of them,
leading to undesirable predictions like global location shift, temporal
inconsistency, and insufficient local details. To solve these problems, we
propose to structurally decouple the modeling of long-term and short-term
correlations in an end-to-end framework, Global-to-Local Transformer (GLoT).
First, a global transformer is introduced with a Masked Pose and Shape
Estimation strategy for long-term modeling. The strategy stimulates the global
transformer to learn more inter-frame correlations by randomly masking the
features of several frames. Second, a local transformer is responsible for
exploiting local details on the human mesh and interacting with the global
transformer by leveraging cross-attention. Moreover, a Hierarchical Spatial
Correlation Regressor is further introduced to refine intra-frame estimations
by decoupled global-local representation and implicit kinematic constraints.
Our GLoT surpasses previous state-of-the-art methods with the lowest model
parameters on popular benchmarks, i.e., 3DPW, MPI-INF-3DHP, and Human3.6M.
Codes are available at https://github.com/sxl142/GLoT.","['Xiaolong Shen', 'Zongxin Yang', 'Xiaohan Wang', 'Jianxin Ma', 'Chang Zhou', 'Yi Yang']"
